Дата свершения транзакции;Идентификатор акции;Маркер контрольной группы;Идентификатор клиента;Идентификатор свершенной транзакции;Оборот по транзакции (рубли + бонусы);Оборот по транзакции (рубли);Сумма начисленных бонусов по транзакции
12.12.2019 20:02;Целевая 7% на Новых;false;241768834;104926542237;520;519,82;36,39
24.12.2019 9:22;Целевая 7% на Новых;false;239924687;106096947969;308;154,11;10,78
07.12.2019 11:24;Целевая 7% на Новых;false;244161300;104357350658;224;112,23;7,85
17.12.2019 10:32;Целевая 7% на Новых;false;232507253;105369643190;53;52,80;1,58
18.12.2019 14:25;Целевая 6% на Отток;false;259820974;105466253171;352;175,86;5,28
18.12.2019 8:10;Целевая 7% на Новых;false;213377320;105446971517;699;350,31;24,52
06.12.2019 18:14;Целевая 7% на Новых;false;317986619;104264935151;41;40,96;2,87
26.12.2019 17:25;Целевая 6% на Отток;false;213155350;106321869281;182;182,22;10,93
30.12.2019 9:53;Целевая 7% на Новых;false;213329593;106767353651;126;125,58;8,80
14.12.2019 17:29;Целевая 7% на Новых;false;213360630;105132920530;506;252,85;17,70
12.12.2019 19:21;Контрольная 6% на Отток;true;224763297;104922427577;178;88,99;2,67
04.12.2019 10:38;Целевая 7% на Новых;false;213228372;103999734313;28;28,25;1,98
20.12.2019 16:24;Целевая 6% на Отток;false;212827311;105697602319;1 646;887,65;53,25
20.12.2019 9:24;Целевая 7% на Новых;false;251404976;105660329478;1 540;769,84;53,89
17.12.2019 18:19;Целевая 7% на Новых;false;317225001;105405019839;140;139,84;9,79
17.12.2019 14:21;Целевая 7% на Новых;false;217024660;105384483276;742;382,10;11,47
13.12.2019 9:16;Целевая 6% на Отток;false;243044176;104983853174;508;254,26;15,26
28.12.2019 11:52;Целевая 7% на Новых;false;233981265;106555552643;1 157;579,15;17,37
17.12.2019 16:07;Целевая 6% на Отток;false;242150334;105394446942;57;56,50;3,39
22.12.2019 21:56;Целевая 6% на Отток;false;226483154;105936375942;593;297,91;17,88
09.12.2019 9:57;Контрольная 7% на Новых;true;220000747;104527552255;602;300,87;9,03
28.12.2019 15:07;Контрольная 7% на Новых;true;277618530;106574307936;620;310,76;9,32
30.12.2019 18:46;Целевая 7% на Новых;false;246683311;106807777102;309;309,35;21,65
25.12.2019 13:40;Целевая 7% на Новых;false;235165407;106208927664;1 637;940,76;65,85
27.12.2019 9:52;Контрольная 7% на Новых;true;255507150;106416211785;681;680,85;20,43
27.12.2019 12:11;Целевая 7% на Новых;false;234874055;106427290583;667;334,63;23,43
21.12.2019 17:56;Целевая 7% на Новых;false;213356254;105823358591;167;83,34;5,83
12.12.2019 10:22;Целевая 7% на Новых;false;212877274;104874828634;3 024;1 512,13;105,84
23.12.2019 14:39;Целевая 6% на Отток;false;249231840;106005441795;1 273;1 178,07;35,34
10.12.2019 14:24;Целевая 7% на Новых;false;212138770;104690101464;31;31,08;2,18
24.12.2019 11:02;Целевая 7% на Новых;false;232570335;106101782234;413;206,29;14,44
15.12.2019 13:22;Целевая 7% на Новых;false;213891887;105189859231;820;410,21;28,72
25.12.2019 19:33;Целевая 6% на Отток;false;236161423;106238910051;1 466;733,26;43,99
25.12.2019 17:28;Контрольная 7% на Новых;true;212994805;106228051524;645;322,70;9,68
14.12.2019 15:21;Целевая 6% на Отток;false;220568823;105120504589;496;248,75;14,92
27.12.2019 20:33;Целевая 7% на Новых;false;243361245;106475627314;2 071;2 070,81;62,12
04.12.2019 17:17;Целевая 7% на Новых;false;212887440;104038104296;54;53,68;3,76
20.12.2019 23:01;Целевая 7% на Новых;false;218118035;105735092126;82;81,79;5,73
20.12.2019 12:09;Целевая 7% на Новых;false;219056168;105673284672;22;11,89;0,35
08.12.2019 14:29;Целевая 7% на Новых;false;213958865;104457184085;588;294,38;20,61
29.12.2019 13:44;Целевая 7% на Новых;false;224160731;106685796259;69;69,22;2,08
02.01.2020 10:59;Целевая 7% на Новых;false;217431761;106984979043;82;40,96;2,87
03.12.2019 9:01;Целевая 7% на Новых;false;235743273;103886225312;83;83,34;5,83
09.12.2019 18:54;Целевая 7% на Новых;false;304315583;104594498783;150;74,87;2,25
18.12.2019 17:32;Целевая 7% на Новых;false;203022788;105481230546;82;81,93;5,73
11.12.2019 11:01;Целевая 7% на Новых;false;220034041;104762377869;537;269,80;18,89
11.12.2019 8:42;Целевая 6% на Отток;false;213078053;104756770135;627;323,48;19,41
06.12.2019 16:17;Целевая 7% на Новых;false;212681237;104252602122;791;790,75;55,34
19.12.2019 8:24;Целевая 7% на Новых;false;219415846;105530047714;44;43,79;3,07
25.12.2019 16:42;Целевая 7% на Новых;false;213815803;106224009854;79;39,62;2,77
08.12.2019 16:42;Контрольная 7% на Новых;true;213845619;104466261875;805;402,58;12,08
07.12.2019 14:04;Целевая 7% на Новых;false;248755102;104369786462;108;107,64;7,54
17.12.2019 18:09;Целевая 7% на Новых;false;233307332;105404182427;345;173,60;12,16
05.12.2019 8:44;Целевая 7% на Новых;false;212601362;104128831400;93;93,23;6,53
05.12.2019 12:28;Целевая 7% на Новых;false;220897626;104140574161;1 415;1 079,98;75,60
22.12.2019 16:37;Целевая 7% на Новых;false;321855570;105906230647;1 157;578,44;40,50
18.12.2019 12:52;Целевая 7% на Новых;false;213081661;105459215922;28;27,97;1,95
31.12.2019 11:42;Целевая 7% на Новых;false;241166160;106892798376;1 592;1 592,37;111,46
16.12.2019 12:37;Целевая 7% на Новых;false;212700229;105270173062;151;76,28;2,29
12.12.2019 14:14;Целевая 7% на Новых;false;213089933;104893250125;16;15,71;1,09
05.12.2019 17:50;Целевая 7% на Новых;false;255276173;104167127803;138;138,43;9,69
22.12.2019 17:13;Целевая 6% на Отток;false;223822200;105909616873;97;97,47;2,92
13.12.2019 14:43;Целевая 6% на Отток;false;219679127;105004905006;230;115,12;6,92
18.12.2019 20:56;Целевая 7% на Новых;false;250634734;105501069343;56;55,85;3,91
31.12.2019 15:48;Целевая 7% на Новых;false;253998462;106913855184;322;161,96;11,34
12.12.2019 9:06;Целевая 7% на Новых;false;237706019;104870620948;79;39,41;2,77
04.12.2019 11:56;Целевая 7% на Новых;false;213374455;104005432759;110;110,18;7,71
24.12.2019 14:24;Целевая 6% на Отток;false;212942125;106116033827;1 115;557,96;33,48
24.12.2019 14:25;Целевая 7% на Новых;false;234141438;106116117681;160;80,80;5,66
07.12.2019 13:09;Целевая 6% на Отток;false;212803859;104365351041;662;331,95;19,92
22.12.2019 6:47;Контрольная 7% на Новых;true;218371368;105871542280;564;563,61;16,91
13.12.2019 8:33;Целевая 7% на Новых;false;219579027;104982452214;153;76,56;5,37
09.12.2019 8:42;Целевая 7% на Новых;false;226785612;104518976097;3 015;2 439,91;170,79
18.12.2019 12:39;Целевая 7% на Новых;false;212525891;105458280206;93;93,23;2,80
28.12.2019 14:56;Целевая 7% на Новых;false;250785888;106573227589;195;194,93;13,65
11.12.2019 16:05;Целевая 6% на Отток;false;239763512;104786251258;576;535,36;32,12
06.12.2019 18:28;Целевая 7% на Новых;false;213482874;104266448275;110;55,09;3,86
30.12.2019 18:09;Целевая 7% на Новых;false;213569602;106804743356;1 349;723,09;21,70
28.12.2019 1:51;Целевая 7% на Новых;false;233008180;106507674530;97;97,47;6,82
16.12.2019 14:08;Целевая 7% на Новых;false;227132064;105277487222;3 563;2 597,83;181,84
12.12.2019 13:17;Контрольная 7% на Новых;true;213222513;104888327914;175;87,86;2,64
08.12.2019 14:05;Целевая 7% на Новых;false;214246983;104455634029;98;97,89;6,85
17.12.2019 17:59;Целевая 7% на Новых;false;317446388;105403388155;139;123,03;8,60
18.12.2019 10:29;Целевая 7% на Новых;false;232924822;105450671480;123;61,45;1,85
31.12.2019 9:12;Целевая 7% на Новых;false;215096078;106880646744;126;125,58;8,80
26.12.2019 12:57;Целевая 7% на Новых;false;235541637;106295671927;215;107,35;3,22
30.12.2019 18:49;Целевая 7% на Новых;false;212978254;106808036829;379;189,42;13,25
25.12.2019 10:16;Целевая 7% на Новых;false;224911549;106193801844;775;388,45;27,19
27.12.2019 20:24;Целевая 7% на Новых;false;247327882;106474816326;805;500,04;35,00
04.12.2019 16:06;Целевая 7% на Новых;false;213023534;104030246711;55;28,25;1,98
20.12.2019 18:17;Контрольная 6% на Отток;true;213543356;105708154308;1 348;674,21;20,23
23.12.2019 15:28;Целевая 7% на Новых;false;213530759;106010761854;504;252,14;17,66
03.01.2020 16:33;Контрольная 7% на Новых;true;243561695;107018426456;775;388,45;11,65
05.12.2019 18:50;Целевая 7% на Новых;false;230422356;104172322150;51;50,78;3,56
18.12.2019 13:23;Целевая 7% на Новых;false;234216993;105461478082;57;56,50;3,96
28.12.2019 17:05;Целевая 7% на Новых;false;248309132;106585880211;412;412,32;28,87
31.12.2019 18:27;Целевая 6% на Отток;false;235906790;106927743061;1 571;1 505,42;90,32
19.12.2019 17:54;Целевая 7% на Новых;false;233329463;105569937365;740;370,09;11,10
26.12.2019 18:36;Целевая 7% на Новых;false;237570062;106328893014;2 480;2 479,74;173,59
27.12.2019 18:53;Целевая 7% на Новых;false;224409766;106465602315;1 321;1 224,83;85,73
27.12.2019 13:43;Целевая 7% на Новых;false;212818532;106436313543;705;353,14;24,72
16.12.2019 15:03;Целевая 7% на Новых;false;213002110;105282715945;83;41,46;2,90
22.12.2019 12:04;Целевая 7% на Новых;false;242128469;105883840911;77;39,13;1,17
03.12.2019 12:30;Целевая 7% на Новых;false;213221538;103906142396;1 223;612,51;42,87
11.12.2019 12:55;Целевая 7% на Новых;false;239003418;104769579014;1 267;943,16;28,29
14.12.2019 13:55;Целевая 6% на Отток;false;213530962;105111901735;311;155,96;9,35
27.12.2019 10:05;Целевая 7% на Новых;false;301588878;106417036592;101;100,72;7,05
27.12.2019 16:16;Контрольная 7% на Новых;true;212542321;106451313912;804;402,58;12,08
10.12.2019 17:51;Целевая 7% на Новых;false;213340890;104705719759;1 297;1 296,73;90,77
13.12.2019 13:56;Целевая 7% на Новых;false;212450195;105000634339;112;111,59;7,81
13.12.2019 15:55;Целевая 7% на Новых;false;220407092;105010951029;55;55,09;3,86
11.12.2019 17:35;Целевая 6% на Отток;false;213152835;104794641439;1 525;1 192,90;71,59
19.12.2019 19:33;Целевая 7% на Новых;false;223888149;105579220516;612;611,64;42,81
26.12.2019 12:40;Целевая 7% на Новых;false;213191316;106294389270;2 160;1 080,60;32,42
30.12.2019 13:56;Целевая 7% на Новых;false;226883223;106784181556;382;191,12;13,38
21.12.2019 12:02;Целевая 7% на Новых;false;226491254;105793224162;879;879,34;61,56
16.12.2019 18:17;Целевая 7% на Новых;false;244461213;105297042318;349;348,90;10,47
07.12.2019 8:29;Целевая 7% на Новых;false;242011498;104345559358;314;157,08;11,00
17.12.2019 14:43;Контрольная 7% на Новых;true;213237570;105386534577;183;92,10;2,77
17.12.2019 13:58;Целевая 7% на Новых;false;221404544;105382413425;2 673;2 520,00;176,40
17.12.2019 17:53;Целевая 7% на Новых;false;224294846;105402850712;885;765,92;22,98
17.12.2019 13:51;Целевая 7% на Новых;false;244104722;105381866606;124;62,86;1,89
05.12.2019 14:01;Целевая 7% на Новых;false;242622961;104147756488;41;40,96;1,23
13.12.2019 16:31;Целевая 7% на Новых;false;214327165;105014219607;145;73,45;2,20
28.12.2019 16:12;Целевая 7% на Новых;false;227876430;106580733592;163;163,35;11,44
11.12.2019 13:20;Целевая 7% на Новых;false;220713763;104771378011;1 193;1 192,97;83,51
31.12.2019 15:10;Целевая 6% на Отток;false;223759567;106910598742;281;257,51;7,73
06.12.2019 17:53;Целевая 7% на Новых;false;213397431;104262617474;5 092;2 546,78;178,28
06.12.2019 21:23;Целевая 7% на Новых;false;212930611;104285417941;45;45,20;3,16
19.12.2019 10:30;Целевая 7% на Новых;false;235473631;105533392176;1 242;621,52;43,51
24.12.2019 14:36;Целевая 7% на Новых;false;235389934;106117130238;83;42,24;1,27
07.12.2019 17:44;Контрольная 7% на Новых;true;244646969;104387026209;778;422,35;12,67
03.01.2020 15:46;Целевая 6% на Отток;false;213652063;107013924843;476;238,72;14,32
05.12.2019 17:05;Целевая 7% на Новых;false;229644645;104163231352;860;430,12;30,12
05.12.2019 8:04;Целевая 7% на Новых;false;289132842;104127486428;394;197,05;13,80
13.12.2019 9:33;Контрольная 7% на Новых;true;246696103;104984445592;127;127,13;3,81
03.12.2019 18:50;Целевая 6% на Отток;false;229172673;103944275152;1 037;519,79;31,19
09.12.2019 15:49;Целевая 6% на Отток;false;225965988;104570783431;526;262,88;15,76
11.12.2019 10:32;Контрольная 6% на Отток;true;251492275;104761070388;184;92,38;2,77
26.12.2019 18:44;Целевая 7% на Новых;false;249878466;106329676168;27;26,84;0,81
12.12.2019 16:04;Целевая 7% на Новых;false;213549673;104903944506;1 595;798,09;23,94
12.12.2019 18:33;Целевая 6% на Отток;false;213026027;104917805830;1 151;576,32;34,58
04.12.2019 16:40;Целевая 7% на Новых;false;248553342;104033958763;403;403,28;28,24
23.12.2019 15:42;Целевая 6% на Отток;false;218757637;106011949366;1 011;505,69;30,34
17.12.2019 14:51;Целевая 7% на Новых;false;249140260;105387303249;41;40,96;2,87
15.12.2019 14:37;Целевая 6% на Отток;false;242931614;105195747442;182;182,22;10,93
26.12.2019 17:07;Целевая 7% на Новых;false;251217753;106320145428;181;180,81;12,66
14.12.2019 16:56;Целевая 7% на Новых;false;212965104;105129641496;83;42,38;2,97
27.12.2019 10:58;Целевая 7% на Новых;false;228572050;106421000666;1 514;1 484,03;103,88
16.12.2019 12:45;Целевая 7% на Новых;false;212789839;105270837994;816;816,05;24,48
12.12.2019 19:37;Целевая 7% на Новых;false;212902095;104924037269;1 006;565,43;39,58
20.12.2019 11:47;Целевая 6% на Отток;false;297829711;105671445205;12;12,33;0,73
10.12.2019 19:56;Целевая 7% на Новых;false;239473566;104716327403;83;83,34;5,83
29.12.2019 18:10;Целевая 7% на Новых;false;212662475;106708765231;165;83,34;5,83
05.12.2019 17:35;Целевая 6% на Отток;false;213292416;104165854178;14;14,27;0,85
28.12.2019 14:35;Целевая 6% на Отток;false;212649487;106571183411;27;26,84;1,61
11.12.2019 16:25;Контрольная 7% на Новых;true;229922711;104788184861;186;94,64;2,84
06.12.2019 14:41;Целевая 7% на Новых;false;213104973;104244118763;621;580,60;40,64
26.12.2019 19:40;Целевая 7% на Новых;false;231279414;106335436565;177;177,28;5,33
25.12.2019 17:08;Контрольная 7% на Новых;true;212921437;106226328514;531;265,56;7,97
10.12.2019 18:20;Целевая 6% на Отток;false;228115498;104708360350;14;14,13;0,85
07.12.2019 11:01;Целевая 7% на Новых;false;213388060;104355716744;1 550;1 501,69;105,11
02.01.2020 21:29;Целевая 6% на Отток;false;216605401;106991963122;666;334,35;10,03
17.12.2019 12:44;Целевая 7% на Новых;false;237966692;105377398362;308;307,94;9,24
05.12.2019 19:52;Целевая 7% на Новых;false;231154308;104177539408;28;14,13;0,42
05.12.2019 16:41;Целевая 7% на Новых;false;220368236;104161334253;965;483,09;14,49
03.12.2019 15:18;Целевая 7% на Новых;false;212768968;103923478944;904;452,02;31,64
28.12.2019 14:42;Целевая 7% на Новых;false;212779072;106571857476;246;124,16;8,70
26.12.2019 12:14;Целевая 7% на Новых;false;307479591;106292727175;417;208,35;6,26
25.12.2019 12:26;Контрольная 6% на Отток;true;212914681;106203159614;1 328;663,77;19,92
27.12.2019 10:08;Целевая 6% на Отток;false;254093613;106417274180;710;355,33;21,33
04.12.2019 14:28;Целевая 7% на Новых;false;234714595;104019530791;14;13,63;0,96
08.12.2019 15:03;Целевая 6% на Отток;false;212593745;104459637121;3 999;2 000,18;120,01
17.12.2019 14:15;Целевая 6% на Отток;false;236136730;105383344640;1 554;1 554,09;93,26
09.12.2019 16:47;Целевая 6% на Отток;false;214713719;104578470717;344;173,32;10,40
18.12.2019 19:21;Целевая 7% на Новых;false;230708680;105491905038;267;133,49;9,35
18.12.2019 9:03;Целевая 7% на Новых;false;230822194;105448204965;55;55,09;3,86
31.12.2019 15:53;Целевая 7% на Новых;false;226030880;106914288416;736;368,68;25,81
21.12.2019 22:02;Целевая 7% на Новых;false;250387694;105846093255;214;213,75;14,96
12.12.2019 14:18;Целевая 7% на Новых;false;213089933;104893605440;14;13,98;0,42
23.12.2019 17:17;Целевая 7% на Новых;false;214129257;106021687145;1 439;720,40;21,61
07.12.2019 12:11;Целевая 7% на Новых;false;213397082;104360727757;300;299,74;20,99
05.12.2019 11:00;Контрольная 6% на Отток;true;213462110;104133887036;1 160;684,99;20,55
13.12.2019 13:36;Контрольная 7% на Новых;true;235620283;104999085424;267;134,19;4,03
03.12.2019 8:53;Целевая 7% на Новых;false;212715347;103886034817;42;42,38;2,97
09.12.2019 12:12;Целевая 7% на Новых;false;217939178;104543940719;273;136,66;9,56
17.12.2019 14:55;Целевая 6% на Отток;false;214710981;105387645658;421;210,84;6,33
30.12.2019 14:31;Целевая 7% на Новых;false;231705080;106787197136;1 172;1 172,00;82,04
14.12.2019 15:03;Целевая 7% на Новых;false;213084061;105118544584;534;266,97;18,69
15.12.2019 0:07;Целевая 7% на Новых;false;248572310;105167661725;54;53,68;3,76
27.12.2019 16:20;Целевая 7% на Новых;false;213176672;106451785244;267;134,19;9,39
27.12.2019 11:04;Целевая 7% на Новых;false;214048230;106421588085;2 365;2 364,86;165,55
16.12.2019 14:57;Контрольная 7% на Новых;true;213154056;105282007664;153;152,56;4,58
23.12.2019 14:42;Целевая 7% на Новых;false;218684321;106005686292;268;140,90;9,86
24.12.2019 11:23;Целевая 7% на Новых;false;213626940;106102934387;41;40,96;2,87
03.01.2020 11:27;Контрольная 7% на Новых;true;213315000;106995984311;1 085;542,38;16,27
09.12.2019 9:53;Целевая 7% на Новых;false;213148785;104526796826;195;97,68;6,84
09.12.2019 17:31;Целевая 7% на Новых;false;217653328;104584120564;148;74,72;5,24
28.12.2019 11:54;Целевая 7% на Новых;false;309079818;106555799364;353;176,57;12,36
06.12.2019 10:58;Целевая 7% на Новых;false;212579593;104224012926;185;184,62;12,92
30.12.2019 12:24;Целевая 6% на Отток;false;212801403;106777503293;862;430,83;25,85
27.12.2019 8:58;Целевая 6% на Отток;false;229771332;106413054761;425;213,58;6,41
20.12.2019 13:45;Целевая 7% на Новых;false;228787152;105682401352;41;40,96;2,87
08.12.2019 11:04;Целевая 7% на Новых;false;214503632;104444893144;505;253,98;17,77
23.12.2019 16:36;Целевая 7% на Новых;false;304447040;106017503913;1 586;824,93;57,75
05.12.2019 10:57;Целевая 6% на Отток;false;300764615;104133725244;740;519,45;31,16
03.12.2019 10:36;Целевая 7% на Новых;false;312468081;103893722252;1 315;658,25;46,08
03.12.2019 19:09;Целевая 6% на Отток;false;213200694;103946245834;5 167;3 979,17;238,75
18.12.2019 9:36;Контрольная 7% на Новых;true;213603369;105449057311;357;357,09;10,71
28.12.2019 11:36;Целевая 7% на Новых;false;218380477;106554173076;1 117;559,37;16,78
15.12.2019 17:19;Целевая 7% на Новых;false;214811189;105210101224;134;134,19;9,39
06.12.2019 12:30;Целевая 7% на Новых;false;245217305;104232008196;103;103,12;7,22
19.12.2019 8:14;Целевая 7% на Новых;false;213041133;105529828792;261;131,37;9,20
25.12.2019 14:14;Целевая 7% на Новых;false;242336680;106211543848;83;82,63;5,79
04.12.2019 15:06;Целевая 6% на Отток;false;282373178;104023829231;374;187,94;11,27
08.12.2019 15:12;Целевая 7% на Новых;false;212762350;104460258576;3 882;2 908,45;203,59
03.01.2020 13:31;Целевая 7% на Новых;false;212231064;107001735203;188;94,01;6,58
05.12.2019 18:07;Целевая 6% на Отток;false;252355887;104168605957;942;471,02;14,13
13.12.2019 18:31;Целевая 7% на Новых;false;212811282;105025036829;671;475,75;33,29
15.12.2019 15:21;Целевая 6% на Отток;false;250957239;105199599214;352;175,86;10,57
31.12.2019 15:48;Целевая 7% на Новых;false;240754469;106913705972;92;46,05;1,38
31.12.2019 8:42;Целевая 7% на Новых;false;220407092;106878196564;69;69,22;2,08
19.12.2019 9:56;Целевая 7% на Новых;false;213016091;105532457766;251;251,43;17,60
14.12.2019 18:42;Целевая 6% на Отток;false;244725518;105140195809;598;597,93;35,88
27.12.2019 11:59;Целевая 7% на Новых;false;219678497;106426352489;414;207,67;14,54
16.12.2019 11:14;Целевая 7% на Новых;false;227557986;105262914108;593;296,64;20,76
03.12.2019 19:16;Целевая 7% на Новых;false;213682724;103946894637;289;289,01;20,23
09.12.2019 18:36;Целевая 7% на Новых;false;213785126;104592194804;198;98,91;6,92
22.12.2019 14:12;Целевая 7% на Новых;false;251475040;105893486005;1 065;532,53;37,28
13.12.2019 17:50;Целевая 7% на Новых;false;243989173;105021322920;154;153,69;10,75
13.12.2019 15:16;Целевая 7% на Новых;false;220923240;105007514114;4 766;2 383,25;71,50
28.12.2019 18:25;Целевая 7% на Новых;false;213272918;106593515974;41;40,96;2,87
26.12.2019 9:11;Целевая 7% на Новых;false;220155870;106283883045;378;378,34;26,49
26.12.2019 12:27;Целевая 7% на Новых;false;216134081;106293648317;4 910;2 455,02;171,85
14.12.2019 12:46;Целевая 6% на Отток;false;219882398;105106079539;422;211,88;12,71
21.12.2019 14:29;Целевая 6% на Отток;false;290428248;105804801871;347;346,64;20,79
20.12.2019 14:43;Целевая 7% на Новых;false;212914516;105688297189;41;40,96;1,23
29.12.2019 20:24;Целевая 6% на Отток;false;214249650;106719855957;232;116,39;3,49
24.12.2019 9:12;Целевая 7% на Новых;false;213336064;106096536800;322;209,45;14,66
22.12.2019 18:03;Целевая 7% на Новых;false;229905880;105913888195;1 391;695,54;48,69
28.12.2019 18:07;Целевая 6% на Отток;false;214122438;106591750299;2 790;1 960,63;58,82
26.12.2019 11:02;Целевая 7% на Новых;false;236394079;106288147715;999;998,68;29,96
26.12.2019 15:53;Контрольная 7% на Новых;true;315968788;106312936350;2 031;1 015,63;30,47
30.12.2019 18:22;Целевая 7% на Новых;false;223951934;106805878782;2 541;1 271,30;88,99
25.12.2019 14:42;Целевая 6% на Отток;false;220004900;106213750711;477;250,01;15,00
27.12.2019 16:02;Целевая 7% на Новых;false;212979745;106450004525;631;316,41;9,49
04.12.2019 19:00;Целевая 7% на Новых;false;212948800;104050079159;684;596,10;41,73
02.01.2020 15:58;Целевая 7% на Новых;false;230633087;106988058693;437;218,38;15,28
17.12.2019 12:28;Целевая 7% на Новых;false;227881199;105376439734;109;109,05;3,28
05.12.2019 10:48;Целевая 6% на Отток;false;242841148;104133014246;123;122,89;7,37
22.12.2019 15:58;Целевая 7% на Новых;false;213217233;105902944532;1 164;581,82;40,74
18.12.2019 13:08;Целевая 6% на Отток;false;228962399;105460391027;382;191,12;11,47
31.12.2019 13:48;Целевая 6% на Отток;false;212917385;106903657708;3 430;1 715,12;51,46
19.12.2019 7:32;Целевая 6% на Отток;false;229796829;105529176507;412;411,62;24,69
27.12.2019 14:24;Целевая 7% на Новых;false;223769640;106440435203;126;125,77;3,77
20.12.2019 14:31;Целевая 7% на Новых;false;242855401;105687140858;136;135,61;4,07
10.12.2019 16:26;Целевая 7% на Новых;false;232924822;104699860654;687;343,28;24,03
10.12.2019 16:51;Целевая 7% на Новых;false;241762848;104701532488;767;397,32;11,92
07.12.2019 11:45;Целевая 7% на Новых;false;214354698;104358829479;64;32,49;0,97
17.12.2019 10:56;Целевая 6% на Отток;false;212686701;105371157529;146;146,06;8,76
09.12.2019 7:40;Целевая 7% на Новых;false;266111467;104514935471;41;40,96;2,87
09.12.2019 17:16;Целевая 7% на Новых;false;213636270;104582152339;1 473;736,96;51,59
28.12.2019 14:34;Целевая 6% на Отток;false;220879303;106571082402;83;83,20;5,00
26.12.2019 15:34;Целевая 7% на Новых;false;235305049;106311078123;1 014;649,78;45,48
21.12.2019 11:03;Целевая 7% на Новых;false;242384222;105789827051;773;773,01;54,11
04.12.2019 15:42;Целевая 7% на Новых;false;212958149;104027570050;298;297,63;20,84
08.12.2019 18:21;Целевая 7% на Новых;false;213004307;104473293666;396;197,83;13,84
10.12.2019 12:45;Контрольная 6% на Отток;true;213166498;104681205796;251;125,72;3,77
02.01.2020 15:06;Контрольная 6% на Отток;true;233472613;106987418546;345;172,36;5,17
17.12.2019 12:44;Целевая 7% на Новых;false;213794569;105377386925;3;2,83;0,20
13.12.2019 10:38;Целевая 7% на Новых;false;219370768;104987040575;772;519,59;36,37
28.12.2019 10:17;Целевая 6% на Отток;false;223822200;106547468726;71;35,31;1,06
06.12.2019 11:30;Контрольная 7% на Новых;true;283978001;104226499509;121;62,01;1,86
16.12.2019 18:16;Целевая 7% на Новых;false;236483669;105296830751;564;282,51;19,78
16.12.2019 22:36;Целевая 7% на Новых;false;224833754;105321174515;57;57,21;4,01
17.12.2019 10:56;Целевая 7% на Новых;false;213739389;105371179007;290;145,49;10,18
05.12.2019 16:50;Целевая 7% на Новых;false;245682584;104162067424;195;97,61;6,82
11.12.2019 18:47;Целевая 7% на Новых;false;245659161;104802083115;232;121,48;8,50
25.12.2019 18:33;Целевая 6% на Отток;false;219419136;106233998743;1 590;795,27;47,72
12.12.2019 18:07;Контрольная 7% на Новых;true;203903919;104915383233;283;141,26;4,24
08.12.2019 14:20;Целевая 7% на Новых;false;255974854;104456587076;752;751,62;52,60
10.12.2019 15:01;Целевая 7% на Новых;false;229155639;104693465679;1 134;567,85;17,04
17.12.2019 19:27;Целевая 7% на Новых;false;233854800;105409923183;1 435;751,62;52,60
05.12.2019 12:34;Целевая 6% на Отток;false;247787433;104141165840;300;151,14;9,07
11.12.2019 8:15;Целевая 7% на Новых;false;226970364;104755789138;208;207,65;14,54
11.12.2019 13:58;Целевая 7% на Новых;false;263994788;104774733540;1 247;624,35;43,70
26.12.2019 12:12;Контрольная 7% на Новых;true;225329572;106292491513;14;14,13;0,42
27.12.2019 15:13;Контрольная 6% на Отток;true;214453864;106445134583;743;545,61;16,37
16.12.2019 9:09;Целевая 6% на Отток;false;220941569;105256178716;1 565;867,31;52,04
12.12.2019 9:36;Целевая 7% на Новых;false;304404194;104871921651;7;7,03;0,49
04.12.2019 14:49;Целевая 7% на Новых;false;213408292;104021974573;160;160,47;11,23
20.12.2019 17:19;Целевая 6% на Отток;false;239921081;105702718083;211;211,46;12,68
24.12.2019 16:39;Целевая 6% на Отток;false;212640958;106127599325;101;100,86;3,02
22.12.2019 11:47;Целевая 7% на Новых;false;239191629;105882857338;100;49,79;3,49
31.12.2019 12:51;Целевая 6% на Отток;false;213222810;106898801729;692;346,08;10,38
26.12.2019 17:17;Целевая 7% на Новых;false;228245994;106321102460;1 398;958,63;67,11
14.12.2019 11:40;Контрольная 7% на Новых;true;213718290;105101755146;178;177,84;5,34
14.12.2019 17:22;Целевая 7% на Новых;false;213074497;105132241552;929;465,44;13,97
27.12.2019 11:30;Контрольная 7% на Новых;true;243422786;106423840042;352;175,86;5,28
21.12.2019 15:08;Целевая 6% на Отток;false;237606826;105808429861;1 016;508,52;30,51
16.12.2019 14:45;Целевая 7% на Новых;false;219070312;105280855081;49;25,43;0,76
16.12.2019 13:01;Целевая 7% на Новых;false;202530974;105271848498;14;14,13;0,42
16.12.2019 10:08;Целевая 7% на Новых;false;275758661;105257893572;1 632;815,75;57,11
16.12.2019 18:38;Целевая 7% на Новых;false;255966798;105298906070;857;857,00;59,99
23.12.2019 17:35;Целевая 7% на Новых;false;230897804;106023502053;832;546,66;38,27
10.12.2019 13:11;Целевая 7% на Новых;false;259888890;104683497365;1 235;617,29;43,21
29.12.2019 10:15;Целевая 6% на Отток;false;202815431;106671261890;931;466,14;27,97
13.12.2019 12:58;Целевая 7% на Новых;false;227807766;104995961887;88;88,14;6,17
19.12.2019 10:20;Целевая 7% на Новых;false;237240855;105533152998;210;210,24;14,72
26.12.2019 11:48;Целевая 7% на Новых;false;213048533;106290869119;1 128;1 128,35;78,98
